iter	Passed	Remaining
1361	1314193	133156
1362	1315186	132194
1363	1316184	131232
1364	1317131	130265
1365	1318071	129298
1366	1318979	128327
1367	1319896	127358
1368	1320895	126396
1369	1321825	125428
1370	1322815	124466
1371	1323745	123498
1372	1324690	122531
1373	1325579	121559
1374	1326697	120608
1375	1327627	119640
1376	1328592	118675
1377	1329485	117704
1378	1330446	116739
1379	1331460	115779
1380	1332446	114816
1381	1333410	113851
1382	1334472	112894
1383	1335482	111933
1384	1336428	110966
1385	1337474	110008
1386	1338442	109043
1387	1339429	108080
1388	1340400	107116
1389	1341376	106152
1390	1342361	105188
1391	1343297	104221
1392	1344189	103250
1393	1345242	102292
1394	1346274	101332
1395	1347174	100362
1396	1348168	99399
1397	1349133	98434
1398	1350097	97469
1399	1351029	96502
1400	1352084	95543
1401	1353142	94584
1402	1354016	93613
1403	1355004	92649
1404	1355981	91685
1405	1356850	90714
1406	1357895	89754
1407	1358807	88785
1408	1359822	87823
1409	1360730	86855
1410	1361687	85889
1411	1362670	84925
1412	1363640	83960
1413	1364603	82995
1414	1365574	82030
1415	1366504	81063
1416	1367484	80099
1417	1368450	79134
1418	1369497	78174
1419	1370421	77206
1420	1371365	76240
1421	1372288	75273
1422	1373230	74306
1423	1374286	73346
1424	1375330	72385
1425	1376357	71423
1426	1377420	70463
1427	1378335	69495
1428	1379273	68529
1429	1380233	67563
1430	1381266	66601
1431	1382259	65638
1432	1383243	64673
1433	1384201	63708
1434	1385205	62744
1435	1386170	61779
1436	1387093	60812
1437	1388115	59849
1438	1389059	58883
1439	1389943	57914
1440	1390942	56950
1441	1391850	55982
1442	1392863	55019
1443	1393814	54053
1444	1394819	53090
1445	1395782	52124
1446	1396744	51159
1447	1397766	50196
1448	1398751	49231
1449	1399709	48265
1450	1400720	47302
1451	1401760	46339
1452	1402714	45373
1453	1403687	44408
1454	1404719	43444
1455	1405757	42481
1456	1406803	41518
1457	1407733	40551
1458	1408618	39584
1459	1409588	38618
1460	1410655	37656
1461	1411597	36689
1462	1412514	35723
1463	1413555	34759
1464	1414473	33792
1465	1415431	32827
1466	1416352	31860
1467	1417338	30895
1468	1418373	29931
1469	1419446	28968
1470	1420405	28002
1471	1421404	27037
1472	1422450	26073
1473	1423492	25109
1474	1424454	24143
1475	1425452	23178
1476	1426391	22211
1477	1427437	21247
